Age Group (years),Year,IPD Serotype,Frequency Count
<2,1998,1,3
<2,1998,10A,3
<2,1998,12F,10
<2,1998,14,245
<2,1998,15B,6
<2,1998,15C,5
<2,1998,16,1
<2,1998,16F,1
<2,1998,18B,1
<2,1998,18C,60
<2,1998,19A,27
<2,1998,19F,75
<2,1998,22F,3
<2,1998,23A,1
<2,1998,23F,54
<2,1998,24F,2
<2,1998,3,3
<2,1998,33F,6
<2,1998,35B,2
<2,1998,35F,1
<2,1998,38,5
<2,1998,4,57
<2,1998,6A,35
<2,1998,6B,78
<2,1998,7F,4
<2,1998,9A,9
<2,1998,9L,1
<2,1998,9N,1
<2,1998,9V,38
<2,1998,MISS,141
<2,1998,NT,4
2-4,1998,1,4
2-4,1998,11A,2
2-4,1998,12F,3
2-4,1998,14,66
2-4,1998,15B,1
2-4,1998,18B,1
2-4,1998,18C,27
2-4,1998,19A,3
2-4,1998,19F,22
2-4,1998,22F,1
2-4,1998,23B,1
2-4,1998,23F,20
2-4,1998,33F,1
2-4,1998,35B,1
2-4,1998,38,2
2-4,1998,4,9
2-4,1998,5,1
2-4,1998,6A,9
2-4,1998,6B,22
2-4,1998,6C,1
2-4,1998,7F,1
2-4,1998,9A,2
2-4,1998,9N,3
2-4,1998,9V,17
2-4,1998,MISS,41
5-17,1998,1,19
5-17,1998,10A,1
5-17,1998,11A,1
5-17,1998,12F,2
5-17,1998,14,12
5-17,1998,15B,4
5-17,1998,18B,1
5-17,1998,18C,8
5-17,1998,18F,1
5-17,1998,19A,3
5-17,1998,19F,5
5-17,1998,22F,1
5-17,1998,23F,9
5-17,1998,3,5
5-17,1998,31,1
5-17,1998,33A,1
5-17,1998,4,7
5-17,1998,5,1
5-17,1998,6A,2
5-17,1998,6B,5
5-17,1998,7F,7
5-17,1998,8,1
5-17,1998,9N,1
5-17,1998,9V,11
5-17,1998,MISS,14
18-49,1998,1,30
18-49,1998,10A,8
18-49,1998,11A,19
18-49,1998,11B,1
18-49,1998,11C,1
18-49,1998,12F,66
18-49,1998,13,5
18-49,1998,14,103
18-49,1998,15A,3
18-49,1998,15B,6
18-49,1998,15C,5
18-49,1998,15F,1
18-49,1998,16,16
18-49,1998,16F,2
18-49,1998,17A,1
18-49,1998,17F,4
18-49,1998,18A,1
18-49,1998,18B,1
18-49,1998,18C,42
18-49,1998,19A,33
18-49,1998,19F,38
18-49,1998,20,8
18-49,1998,21,1
18-49,1998,22F,24
18-49,1998,23A,2
18-49,1998,23F,53
18-49,1998,28,1
18-49,1998,28F,2
18-49,1998,29,1
18-49,1998,3,31
18-49,1998,30,1
18-49,1998,31,7
18-49,1998,33F,8
18-49,1998,34,3
18-49,1998,35B,4
18-49,1998,35F,5
18-49,1998,38,10
18-49,1998,4,148
18-49,1998,5,1
18-49,1998,6A,41
18-49,1998,6B,56
18-49,1998,7F,42
18-49,1998,8,19
18-49,1998,9A,9
18-49,1998,9N,29
18-49,1998,9V,111
18-49,1998,MISS,131
18-49,1998,NT,1
50-64,1998,1,13
50-64,1998,10A,4
50-64,1998,11A,10
50-64,1998,12F,21
50-64,1998,13,1
50-64,1998,14,48
50-64,1998,15A,1
50-64,1998,15B,1
50-64,1998,15C,1
50-64,1998,15F,1
50-64,1998,16,4
50-64,1998,16F,2
50-64,1998,17F,2
50-64,1998,18C,16
50-64,1998,19A,17
50-64,1998,19F,17
50-64,1998,20,1
50-64,1998,22F,33
50-64,1998,23A,5
50-64,1998,23B,1
50-64,1998,23F,45
50-64,1998,3,28
50-64,1998,31,5
50-64,1998,33,1
50-64,1998,33F,5
50-64,1998,34,2
50-64,1998,35B,3
50-64,1998,35F,4
50-64,1998,37,1
50-64,1998,38,7
50-64,1998,4,64
50-64,1998,6A,18
50-64,1998,6B,38
50-64,1998,7F,23
50-64,1998,8,8
50-64,1998,9A,5
50-64,1998,9N,14
50-64,1998,9V,39
50-64,1998,MISS,73
50-64,1998,NT,2
65+,1998,1,18
65+,1998,10A,11
65+,1998,11A,27
65+,1998,11C,1
65+,1998,12F,37
65+,1998,13,4
65+,1998,14,156
65+,1998,15A,3
65+,1998,15B,11
65+,1998,15C,1
65+,1998,15F,1
65+,1998,16,14
65+,1998,16F,1
65+,1998,17,1
65+,1998,17F,1
65+,1998,18A,1
65+,1998,18C,24
65+,1998,18F,2
65+,1998,19A,36
65+,1998,19F,41
65+,1998,20,6
65+,1998,22A,1
65+,1998,22F,55
65+,1998,23A,5
65+,1998,23F,87
65+,1998,24F,2
65+,1998,29,1
65+,1998,3,54
65+,1998,31,8
65+,1998,33,2
65+,1998,33F,12
65+,1998,34,3
65+,1998,35B,11
65+,1998,35F,7
65+,1998,38,8
65+,1998,4,94
65+,1998,5,1
65+,1998,6A,50
65+,1998,6B,80
65+,1998,7A,1
65+,1998,7F,23
65+,1998,8,9
65+,1998,9A,9
65+,1998,9L,1
65+,1998,9N,10
65+,1998,9V,99
65+,1998,MISS,163
65+,1998,NT,5
<2,1999,1,4
<2,1999,10A,1
<2,1999,11A,1
<2,1999,12F,7
<2,1999,14,275
<2,1999,15B,1
<2,1999,15C,2
<2,1999,16F,2
<2,1999,18B,3
<2,1999,18C,64
<2,1999,18F,1
<2,1999,19A,14
<2,1999,19F,89
<2,1999,22F,7
<2,1999,23A,1
<2,1999,23B,2
<2,1999,23F,52
<2,1999,24B,1
<2,1999,3,4
<2,1999,33F,5
<2,1999,35B,1
<2,1999,38,4
<2,1999,4,58
<2,1999,6A,35
<2,1999,6B,93
<2,1999,7F,6
<2,1999,9A,11
<2,1999,9L,1
<2,1999,9N,2
<2,1999,9V,50
<2,1999,MISS,145
<2,1999,NT,3
2-4,1999,1,2
2-4,1999,12F,6
2-4,1999,14,58
2-4,1999,15B,2
2-4,1999,15C,1
2-4,1999,18C,25
2-4,1999,19A,6
2-4,1999,19F,27
2-4,1999,23A,1
2-4,1999,23F,13
2-4,1999,3,2
2-4,1999,33F,3
2-4,1999,35B,1
2-4,1999,38,1
2-4,1999,4,13
2-4,1999,5,1
2-4,1999,6A,19
2-4,1999,6B,18
2-4,1999,7F,2
2-4,1999,9A,1
2-4,1999,9V,11
2-4,1999,MISS,41
5-17,1999,1,11
5-17,1999,11A,1
5-17,1999,12F,9
5-17,1999,14,25
5-17,1999,15B,1
5-17,1999,15C,1
5-17,1999,18B,1
5-17,1999,18C,15
5-17,1999,19A,7
5-17,1999,19F,7
5-17,1999,22F,3
5-17,1999,23F,6
5-17,1999,3,2
5-17,1999,33A,1
5-17,1999,35B,1
5-17,1999,35F,1
5-17,1999,4,9
5-17,1999,6A,4
5-17,1999,6B,2
5-17,1999,7F,5
5-17,1999,8,2
5-17,1999,9A,1
5-17,1999,9V,7
5-17,1999,MISS,22
5-17,1999,NT,1
18-49,1999,1,23
18-49,1999,10A,8
18-49,1999,11A,20
18-49,1999,11B,1
18-49,1999,12F,84
18-49,1999,13,7
18-49,1999,14,145
18-49,1999,15A,3
18-49,1999,15B,5
18-49,1999,15C,2
18-49,1999,16,13
18-49,1999,16F,8
18-49,1999,17F,1
18-49,1999,18A,1
18-49,1999,18B,2
18-49,1999,18C,39
18-49,1999,18F,1
18-49,1999,19A,27
18-49,1999,19F,46
18-49,1999,20,9
18-49,1999,22F,36
18-49,1999,23A,3
18-49,1999,23F,84
18-49,1999,24F,2
18-49,1999,3,45
18-49,1999,31,4
18-49,1999,33A,1
18-49,1999,33F,5
18-49,1999,34,2
18-49,1999,35B,4
18-49,1999,35F,9
18-49,1999,38,3
18-49,1999,4,185
18-49,1999,5,2
18-49,1999,6A,34
18-49,1999,6B,42
18-49,1999,6C,2
18-49,1999,7C,3
18-49,1999,7F,33
18-49,1999,8,12
18-49,1999,9A,8
18-49,1999,9N,27
18-49,1999,9V,103
18-49,1999,MISS,129
18-49,1999,NT,6
50-64,1999,1,11
50-64,1999,10A,4
50-64,1999,11A,11
50-64,1999,12F,34
50-64,1999,13,1
50-64,1999,14,86
50-64,1999,15A,2
50-64,1999,15B,10
50-64,1999,15C,1
50-64,1999,16,9
50-64,1999,16F,4
50-64,1999,17F,1
50-64,1999,18C,12
50-64,1999,19A,15
50-64,1999,19F,26
50-64,1999,20,4
50-64,1999,22F,20
50-64,1999,23A,5
50-64,1999,23F,29
